timestamp,agent.name,rule.description,rule.level,rule.id
"May 24, 2025 @ 00:51:41.773","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:51:40.458","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:51:38.759","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:21:08.221","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 24, 2025 @ 00:18:23.156","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:21.497","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:20.309","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:18.792","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:17.496","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:16.322","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:14.962","DESKTOP-O7P9I53","Multiple Windows Logon Failures","10","60204"
"May 24, 2025 @ 00:18:06.517","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:18:04.805","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:17:58.131","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:17:55.109","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:15:24.626","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:15:22.849","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:15:20.114","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:13:38.504","DESKTOP-O7P9I53","Logon Failure - Unknown user or bad password","5","60122"
"May 24, 2025 @ 00:07:52.629","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 23:50:49.908","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 23:43:54.106","RHEL7","sshd: authentication failed.","5","5716"
"May 23, 2025 @ 23:10:00.301","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 23:09:29.373","RHEL7","PIX: AAA (VPN) user locked out.","8","4336"
"May 23, 2025 @ 23:01:39.109","RHEL7","unix_chkpwd: Password check failed.","5","5557"
"May 23, 2025 @ 22:54:53.229","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 22:44:25.570","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 22:37:54.992","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 22:21:54.134","RHEL7","PAM: Multiple failed logins in a small period of time.","10","5551"
"May 23, 2025 @ 22:11:43.494","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 22:07:02.571","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 22:04:31.784","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 22:02:15.358","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 21:54:48.341","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 20:12:59.155","RHEL7","Imapd Multiple failed logins from same source ip.","10","3651"
"May 23, 2025 @ 19:51:52.713","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 19:16:00.269","RHEL7","syslog: User missed the password more than one time","10","2502"
"May 23, 2025 @ 18:38:41.488","RHEL7","Logon Failure - Unknown user or bad password","5","60122"
"May 23, 2025 @ 18:28:48.342","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 18:10:54.755","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 17:29:36.228","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 17:00:04.781","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 16:38:04.874","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 16:27:18.806","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 16:23:08.927","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 16:10:06.261","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 15:20:41.361","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 15:11:25.464","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 14:45:33.465","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 14:21:59.503","RHEL7","unix_chkpwd: Password check failed.","5","5557"
"May 23, 2025 @ 14:03:11.330","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 13:49:22.478","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 13:10:53.630","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 12:44:05.206","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 12:21:23.697","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 11:33:43.112","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 11:31:35.734","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 11:15:50.107","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 10:08:05.281","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 09:53:56.275","RHEL7","unix_chkpwd: Password check failed.","5","5557"
"May 23, 2025 @ 09:44:27.031","RHEL7","sshd: authentication failed.","5","5716"
"May 23, 2025 @ 09:31:21.652","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 09:29:23.195","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 09:19:21.377","RHEL7","sshd: authentication failed.","5","5716"
"May 23, 2025 @ 09:15:09.087","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 09:14:16.895","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 08:30:27.314","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 07:57:36.255","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 07:56:52.023","RHEL7","sshd: Multiple authentication failures.","10","5720"
"May 23, 2025 @ 07:26:05.406","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 07:15:57.180","RHEL7","sshd: Attempt to login using a non-existent user","5","5710"
"May 23, 2025 @ 07:07:32.078","RHEL7","Maximum authentication attempts exceeded.","8","5758"
"May 23, 2025 @ 06:56:56.516","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 05:28:14.594","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 04:43:48.620","RHEL7","sshd: brute force trying to get access to the system.","10","5712"
"May 23, 2025 @ 04:29:10.508","RHEL7","Imapd Multiple failed logins from same source ip.","10","3651"
"May 23, 2025 @ 04:27:18.580","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 03:03:48.016","RHEL7","Logon Failure - Unknown user or bad password","5","60122"
"May 23, 2025 @ 02:52:11.530","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 02:46:24.982","RHEL7","Logon Failure - Unknown user or bad password","5","60122"
"May 23, 2025 @ 02:28:13.109","RHEL7","Imapd Multiple failed logins from same source ip.","10","3651"
"May 23, 2025 @ 02:28:03.179","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 02:00:02.944","RHEL7","PAM: User login failed.","5","5503"
"May 23, 2025 @ 01:09:10.203","RHEL7","PAM: User login failed.","5","5503"
